Title,Date,Rating,Author,Summary,OCN,Pros,Cons,Verdict
Dynabook Satellite Pro L50-G-17R,2020-02-22,7.2,Markus Dahlberg,Snabb arbetsdator.,Dator, Snabb, Slarvigt tangentbord,Innanmätet då? Här finns inte mycket att klaga på. Även om vi får den senaste generationen Core i7-processor och gott om ramminne är det den hypersnabba ssd:n som står ut. Datorn är snabb och startar Word lika kvickt som vi hinner klicka på ikonen. Batteritiden på knappa tio timmar imponerar i en så här pass stor dator och som arbetshäst gör den verkligen sitt jobb.
Asus ROG Theta 7.1,2020-02-27,9.4,Morten Skeldal Østergaard,Tungt headset med runt om-ljud.,Hörlurar och headset, Fin ljudkvalitet," Stora och tunga
","Anledningen till att ROG Theta ser nästan förstorade ut är att det kan ge äkta surroundljud. Det finns alltså flera högtalarelement inbyggda i kåporna för att ge ett ljud som verkligen kommer från alla håll. Det hela fungerar otroligt bra och effekten är förnämlig. Vi har provat headsetet tillsammans med några spel och gjort regelrätta surroundtester, och det hörs verkligen exakt varifrån i rummet ett ljud kommer. Det känns verkligen som att sitta mitt i ett vältrimmat surroundsystem med sju högtalare runt omkring. Imponerande."
JBL Live 650BT,2020-02-23,8.0,Markus Dahlberg,Schyssta vardagshörlurar med maffigt ljud.,Hörlurar och headset, Bra vardagslurar," Halvdan mikrofon
","Mindre bra är de anonyma knapparna på höger kåpa. Det är svårt att träffa rätt på första försöket, en vanesak givetvis men det går att göra fysiska knappar tydligare än så här. Ett annat minus är laddningen via micro-usb. Det fungerar ju, men det är ett kliv bakåt i tiden."
AVM FRITZ!Repeater 1200,2020-03-09,9.3,Henrik Ræder Clausen,Kompakt repeterare för fasta och trådlösa nätverk.,Nätverkstillbehör, Höga hastigheter,,Nätverksporten kan ge riktigt höga hastigheter för en fast ansluten enhet. Vi mäter 571 megabit i sekunden när anslutningen mellan repeteraren och routern är god. Det går att ansluta fler enheter till Fritz!Repeater 1200 genom att använda en switch.
Creative Sound Blaster X3,2020-02-27,8.7,Morten Skeldal Østergaard,Externt ljudkort för surroundljud.,Diverse, Härlig ljudkvalitet,,"Den stora volymknappen är smidig att använda för att ändra ljudvolymen. Ett tryck på knappen stänger av ljudet helt. Med de tre knapparna intill volymknappen bestäms vilken ljudingång som ska användas och det går att välja mellan olika ljudprofiler allt efter om man lyssnar på musik, film eller något annat."
Kaspersky Mobile Antivirus: App Lock & Web Security,2020-03-12,9.2,Morten Skeldal Østergaard,Säkerhetsapp som skyddar mobilen,Program appar spel, Rimligt pris,,"Vi har testat appen tillsammans med det oberoende tyska testinstitutet AV-test, och resultatet övertygar: Kasperskys app fångade upp alla försök att installera och köra skadliga appar i telefonen. Appen gav inte heller några falska varningar."
Logitech G604 Lightspeed,2020-03-01,6.8,Morten Skeldal Østergaard,Knapprik spelmus.,Mus, Bra form," Misslyckat rullhjul
",Mushjulet sitter aningen löst och vickar därför lite åt sidorna. Det gör att det rasslar lite när musen förs hastigt åt sidorna.
Netgear Meural Canvas II,2020-03-09,9.0,Morten Skeldal Østergaard,Digital tavelram i en klass för sig.,Skärm, Fin bildkvalitet," Dyr
",Den som inte vill prenumerera på konst kan nöja sig med att visa upp egna bilder eller köpa enstaka målningar. Allt styrs enkelt via appen Merual i mobilen. En bra funktion är att skärmen kan fjärrstyras om man befinner sig på annat håll. Det går till exempel att byta bild på barnbarnen på skärmen som hänger hemma hos mormor och morfar.
Samsung Galaxy A71,2020-03-12,7.9,Morten Skeldal Østergaard,Stor mellanklassmobil,Telefon, Bra skärm, Skräpappar,"Batteritiden är fantastisk. Vi har använt A71 i nästan två dagar utan att behöva ladda den. Å andra sidan är det svårare att stå ut med Samsungs digitala assistent Bixby, som är på engelska och inte alls lika användbar som Googleassistenten. Bixby har i alla fall inte fått en egen fysisk knapp som i andra Samsungtelefoner. I A71 måste strömbrytaren hållas intryckt för att starta Bixby."
Epson Expression Photo XP-8600,2020-04-06,8.6,Morten Skeldal Østergaard,Allt i ett-skrivare med klass.,Skrivare, Fina fotoutskrifter," Inte för stora utskriftsbehov
","En kul detalj är de förprogrammerade utskrifter som finns i skrivaren. Via skärmen går det att skriva ut till exempel linjerat papper, gratulationskort, kalendrar och mycket annat. Mycket av detta är användbart."
